vehicle_id,registration,model,purchase_date,customer_id,current_mileage,warranty_expiry,has_extended_warranty,has_ccp
1,MH02XX1234,Swift,15/01/2022,101,35000,15/01/2025,True,True
2,DL05YY5678,Baleno,20/03/2023,102,18000,20/03/2026,True,True
3,KA01ZZ9012,Ertiga,10/06/2021,103,55000,10/06/2024,False,False
4,MH12AB3456,Dzire,25/08/2022,104,28000,25/08/2025,True,True
5,DL08CD7890,Vitara Brezza,12/11/2023,101,12000,12/11/2026,True,False
6,UP16EF1234,Alto,05/02/2020,105,70000,05/02/2023,False,False
7,TN09GH5678,Wagon R,18/09/2022,102,32000,18/09/2025,True,False
8,KA03IJ9012,Ciaz,30/05/2023,106,15000,30/05/2026,True,True
9,MH14KL3456,S-Cross,22/12/2021,103,48000,22/12/2024,True,False
10,DL12MN7890,XL6,08/07/2023,107,10000,08/07/2026,True,True
11,HR26OP1234,Celerio,15/04/2022,104,25000,15/04/2025,False,False
12,PB03QR5678,Ignis,28/10/2023,108,8000,28/10/2026,True,False
13,RJ14ST9012,Eeco,03/01/2021,105,62000,03/01/2024,False,False
14,GJ01UV3456,Grand Vitara,19/08/2023,109,11000,19/08/2026,True,True
15,MH01WX7890,Fronx,14/06/2023,110,14000,14/06/2026,True,False
